Age_of_Specimen,GNP,W/C,Sand/C,SP/C,VMA/C,SR,UPV
28,0,0.311136625,1.429391504,0.004659013,0.001196326,51.8,3.488372093
28,0,0.311136625,1.429391504,0.004659013,0.001196326,54.33333333,3.488372093
28,0,0.311136625,1.429391504,0.004659013,0.001196326,51,3.571428571
28,0,0.311136625,1.429391504,0.004659013,0.001196326,54.33333333,3.488372093
28,0,0.311136625,1.429391504,0.004659013,0.001196326,55.33333333,3.225806452
28,0,0.311136625,1.429391504,0.004659013,0.001196326,51,3.498542274
28,0,0.304247991,1.429391504,0.004659013,0.001196326,78,3.092783505
28,0,0.304247991,1.429391504,0.004659013,0.001196326,76.66666667,3.287671233
28,0,0.304247991,1.429391504,0.004659013,0.001196326,72,3.539823009
28,0,0.304247991,1.429391504,0.004659013,0.001196326,78,3.47826087
28,0,0.304247991,1.429391504,0.004659013,0.001196326,62.33333333,3.550295858
28,0,0.304247991,1.429391504,0.004659013,0.001196326,76,3.592814371
1,0,0.299655568,1.429391504,0.004659013,0.001196326,20.46666667,3.519061584
1,0,0.299655568,1.429391504,0.004659013,0.001196326,19.9,3.243243243
1,0,0.299655568,1.429391504,0.004659013,0.001196326,19.53333333,3.418803419
1,0,0.299655568,1.429391504,0.004659013,0.001196326,20.13333333,3.361344538
1,0,0.299655568,1.429391504,0.004659013,0.001196326,18.9,3.314917127
1,0,0.299655568,1.429391504,0.004659013,0.001196326,19.33333333,3.361344538
7,0,0.299655568,1.429391504,0.004659013,0.001196326,40,3.409090909
7,0,0.299655568,1.429391504,0.004659013,0.001196326,37.56666667,3.625377644
7,0,0.299655568,1.429391504,0.004659013,0.001196326,36.96666667,3.539823009
7,0,0.299655568,1.429391504,0.004659013,0.001196326,38.03333333,3.370786517
7,0,0.299655568,1.429391504,0.004659013,0.001196326,35.36666667,3.468208092
7,0,0.299655568,1.429391504,0.004659013,0.001196326,36.1,3.715170279
28,0,0.299655568,1.429391504,0.004659013,0.001196326,66.63333333,3.296703297
28,0,0.299655568,1.429391504,0.004659013,0.001196326,64.1,3.217158177
28,0,0.299655568,1.429391504,0.004659013,0.001196326,63.33333333,3.703703704
28,0,0.299655568,1.429391504,0.004659013,0.001196326,62.23333333,3.560830861
28,0,0.299655568,1.429391504,0.004659013,0.001196326,62,3.636363636
28,0,0.299655568,1.429391504,0.004659013,0.001196326,60.96666667,3.582089552
1,2,0.299655568,1.429391504,0.004659013,0.001196326,16.63333333,3.342618384
1,2,0.299655568,1.429391504,0.004659013,0.001196326,16.5,3.428571429
1,2,0.299655568,1.429391504,0.004659013,0.001196326,16.33333333,3.287671233
1,2,0.299655568,1.429391504,0.004659013,0.001196326,16.5,2.926829268
1,2,0.299655568,1.429391504,0.004659013,0.001196326,17,3.10880829
1,2,0.299655568,1.429391504,0.004659013,0.001196326,17.06666667,3.2
7,2,0.299655568,1.429391504,0.004659013,0.001196326,39.33333333,3.692307692
7,2,0.299655568,1.429391504,0.004659013,0.001196326,39.36666667,3.692307692
7,2,0.299655568,1.429391504,0.004659013,0.001196326,37.56666667,3.488372093
7,2,0.299655568,1.429391504,0.004659013,0.001196326,39.1,2.905569007
7,2,0.299655568,1.429391504,0.004659013,0.001196326,40.5,3.409090909
